x,y,channel,bit_index,payload_bit,byte_index
2643,0,B,15862,1,1982
2643,0,B,15863,0,1982
2644,0,R,15864,0,1983
2644,0,R,15865,1,1983
2644,0,G,15866,0,1983
2644,0,G,15867,0,1983
2644,0,B,15868,0,1983
2644,0,B,15869,1,1983
2645,0,R,15870,0,1983
2645,0,R,15871,0,1983
2645,0,G,15872,0,1984
2645,0,G,15873,1,1984
2645,0,B,15874,0,1984
2645,0,B,15875,0,1984
2646,0,R,15876,1,1984
2646,0,R,15877,0,1984
2646,0,G,15878,1,1984
2646,0,G,15879,0,1984
2646,0,B,15880,0,1985
2646,0,B,15881,1,1985
2647,0,R,15882,0,1985
2647,0,R,15883,0,1985
2647,0,G,15884,1,1985
2647,0,G,15885,0,1985
2647,0,B,15886,1,1985
2647,0,B,15887,1,1985
2648,0,R,15888,0,1986
2648,0,R,15889,1,1986
2648,0,G,15890,0,1986
2648,0,G,15891,0,1986
2648,0,B,15892,1,1986
2648,0,B,15893,1,1986
2649,0,R,15894,1,1986
2649,0,R,15895,1,1986
2649,0,G,15896,0,1987
2649,0,G,15897,0,1987
2649,0,B,15898,1,1987
2649,0,B,15899,0,1987
2650,0,R,15900,1,1987
2650,0,R,15901,1,1987
2650,0,G,15902,1,1987
2650,0,G,15903,1,1987
2650,0,B,15904,0,1988
2650,0,B,15905,0,1988
2651,0,R,15906,1,1988
2651,0,R,15907,1,1988
2651,0,G,15908,0,1988
2651,0,G,15909,1,1988
2651,0,B,15910,0,1988
2651,0,B,15911,0,1988
2652,0,R,15912,0,1989
2652,0,R,15913,1,1989
2652,0,G,15914,1,1989
2652,0,G,15915,0,1989
2652,0,B,15916,1,1989
2652,0,B,15917,1,1989
2653,0,R,15918,0,1989
2653,0,R,15919,0,1989
2653,0,G,15920,0,1990
2653,0,G,15921,0,1990
2653,0,B,15922,1,1990
2653,0,B,15923,1,1990
2654,0,R,15924,0,1990
2654,0,R,15925,0,1990
2654,0,G,15926,1,1990
2654,0,G,15927,0,1990
2654,0,B,15928,0,1991
2654,0,B,15929,1,1991
2655,0,R,15930,0,1991
2655,0,R,15931,0,1991
2655,0,G,15932,0,1991
2655,0,G,15933,0,1991
2655,0,B,15934,0,1991
2655,0,B,15935,0,1991
2656,0,R,15936,0,1992
2656,0,R,15937,1,1992
2656,0,G,15938,0,1992
2656,0,G,15939,0,1992
2656,0,B,15940,1,1992
2656,0,B,15941,1,1992
2657,0,R,15942,1,1992
2657,0,R,15943,0,1992
2657,0,G,15944,0,1993
2657,0,G,15945,1,1993
2657,0,B,15946,0,1993
2657,0,B,15947,0,1993
2658,0,R,15948,1,1993
2658,0,R,15949,1,1993
2658,0,G,15950,0,1993
2658,0,G,15951,1,1993
2658,0,B,15952,0,1994
2658,0,B,15953,1,1994
2659,0,R,15954,1,1994
2659,0,R,15955,0,1994
2659,0,G,15956,1,1994
2659,0,G,15957,0,1994
2659,0,B,15958,1,1994
2659,0,B,15959,0,1994
2660,0,R,15960,0,1995
2660,0,R,15961,1,1995
2660,0,G,15962,0,1995
2660,0,G,15963,0,1995
2660,0,B,15964,1,1995
2660,0,B,15965,0,1995
2661,0,R,15966,1,1995
2661,0,R,15967,0,1995
2661,0,G,15968,0,1996
2661,0,G,15969,1,1996
2661,0,B,15970,1,1996
2661,0,B,15971,0,1996
2662,0,R,15972,0,1996
2662,0,R,15973,1,1996
2662,0,G,15974,0,1996
2662,0,G,15975,0,1996
2662,0,B,15976,0,1997
2662,0,B,15977,1,1997
2663,0,R,15978,1,1997
2663,0,R,15979,0,1997
2663,0,G,15980,1,1997
2663,0,G,15981,0,1997
2663,0,B,15982,1,1997
2663,0,B,15983,1,1997
2664,0,R,15984,0,1998
2664,0,R,15985,1,1998
2664,0,G,15986,0,1998
2664,0,G,15987,0,1998
2664,0,B,15988,0,1998
2664,0,B,15989,0,1998
2665,0,R,15990,0,1998
