x,y,channel,bit_index,payload_bit,byte_index
154,0,R,924,1,115
154,0,R,925,1,115
154,0,G,926,1,115
154,0,G,927,0,115
154,0,B,928,0,116
154,0,B,929,0,116
155,0,R,930,1,116
155,0,R,931,0,116
155,0,G,932,1,116
155,0,G,933,1,116
155,0,B,934,1,116
155,0,B,935,1,116
156,0,R,936,0,117
156,0,R,937,1,117
156,0,G,938,1,117
156,0,G,939,1,117
156,0,B,940,0,117
156,0,B,941,0,117
157,0,R,942,0,117
157,0,R,943,0,117
157,0,G,944,0,118
157,0,G,945,1,118
157,0,B,946,1,118
157,0,B,947,0,118
158,0,R,948,0,118
158,0,R,949,1,118
158,0,G,950,0,118
158,0,G,951,0,118
158,0,B,952,0,119
158,0,B,953,1,119
159,0,R,954,1,119
159,0,R,955,0,119
159,0,G,956,0,119
159,0,G,957,1,119
159,0,B,958,1,119
159,0,B,959,0,119
160,0,R,960,0,120
160,0,R,961,0,120
160,0,G,962,1,120
160,0,G,963,0,120
160,0,B,964,0,120
160,0,B,965,0,120
161,0,R,966,1,120
161,0,R,967,0,120
161,0,G,968,0,121
161,0,G,969,0,121
161,0,B,970,1,121
161,0,B,971,0,121
162,0,R,972,1,121
162,0,R,973,1,121
162,0,G,974,0,121
162,0,G,975,0,121
162,0,B,976,0,122
162,0,B,977,0,122
163,0,R,978,1,122
163,0,R,979,0,122
163,0,G,980,0,122
163,0,G,981,0,122
163,0,B,982,0,122
163,0,B,983,0,122
164,0,R,984,0,123
164,0,R,985,0,123
164,0,G,986,1,123
164,0,G,987,0,123
164,0,B,988,0,123
164,0,B,989,0,123
165,0,R,990,1,123
165,0,R,991,0,123
165,0,G,992,0,124
165,0,G,993,1,124
165,0,B,994,1,124
165,0,B,995,1,124
166,0,R,996,0,124
166,0,R,997,0,124
166,0,G,998,0,124
166,0,G,999,0,124
166,0,B,1000,0,125
166,0,B,1001,1,125
167,0,R,1002,1,125
167,0,R,1003,0,125
167,0,G,1004,0,125
167,0,G,1005,0,125
167,0,B,1006,0,125
167,0,B,1007,1,125
168,0,R,1008,0,126
168,0,R,1009,1,126
168,0,G,1010,1,126
168,0,G,1011,1,126
168,0,B,1012,1,126
168,0,B,1013,0,126
169,0,R,1014,0,126
169,0,R,1015,1,126
169,0,G,1016,0,127
169,0,G,1017,1,127
169,0,B,1018,1,127
169,0,B,1019,0,127
170,0,R,1020,1,127
170,0,R,1021,1,127
170,0,G,1022,0,127
170,0,G,1023,0,127
170,0,B,1024,0,128
170,0,B,1025,1,128
171,0,R,1026,1,128
171,0,R,1027,0,128
171,0,G,1028,1,128
171,0,G,1029,1,128
171,0,B,1030,1,128
171,0,B,1031,1,128
172,0,R,1032,0,129
172,0,R,1033,1,129
172,0,G,1034,1,129
172,0,G,1035,0,129
172,0,B,1036,0,129
172,0,B,1037,0,129
173,0,R,1038,0,129
173,0,R,1039,1,129
173,0,G,1040,0,130
173,0,G,1041,1,130
173,0,B,1042,1,130
173,0,B,1043,0,130
174,0,R,1044,0,130
174,0,R,1045,1,130
174,0,G,1046,0,130
174,0,G,1047,0,130
174,0,B,1048,0,131
174,0,B,1049,1,131
175,0,R,1050,0,131
175,0,R,1051,1,131
175,0,G,1052,1,131
175,0,G,1053,1,131
175,0,B,1054,1,131
175,0,B,1055,1,131
176,0,R,1056,0,132
176,0,R,1057,1,132
176,0,G,1058,1,132
176,0,G,1059,1,132
176,0,B,1060,0,132
176,0,B,1061,0,132
177,0,R,1062,1,132
177,0,R,1063,1,132
177,0,G,1064,0,133
177,0,G,1065,1,133
177,0,B,1066,1,133
177,0,B,1067,0,133
178,0,R,1068,1,133
178,0,R,1069,0,133
178,0,G,1070,0,133
178,0,G,1071,1,133
178,0,B,1072,0,134
178,0,B,1073,1,134
179,0,R,1074,1,134
179,0,R,1075,1,134
179,0,G,1076,1,134
179,0,G,1077,0,134
179,0,B,1078,1,134
179,0,B,1079,0,134
180,0,R,1080,0,135
180,0,R,1081,1,135
180,0,G,1082,1,135
180,0,G,1083,0,135
180,0,B,1084,0,135
180,0,B,1085,1,135
181,0,R,1086,0,135
181,0,R,1087,1,135
181,0,G,1088,0,136
181,0,G,1089,0,136
181,0,B,1090,1,136
181,0,B,1091,0,136
182,0,R,1092,0,136
182,0,R,1093,0,136
182,0,G,1094,1,136
182,0,G,1095,0,136
182,0,B,1096,0,137
182,0,B,1097,0,137
183,0,R,1098,1,137
183,0,R,1099,1,137
